"","family member","close friend","partner_spouse","indian citizen","somebody from your neighborhood","co_worker","foreign citizen","member of opposing political party","somebody with different religious beliefs","prime minister of india","indian soldier","charity worker","homosexual","mentally challenged individual","refugee","murderer","terrorist","child molester","chimpanzee","dolphin","cow","chicken","fish","bee","banyan tree","apple tree","rose bush","mountains","forest","river","sum_of_rows_h"
"1",3,3,3,1,2,2,1,0,1,1,2,2,2,2,2,0,0,0,1,0,2,0,0,0,2,0,0,1,1,1,35
"2",3,3,3,2,2,3,2,0,0,2,3,3,2,3,2,0,0,0,2,1,2,0,2,1,3,3,3,3,3,3,59
"3",3,3,3,2,2,2,1,1,0,2,3,2,2,2,2,0,0,0,2,1,2,1,2,2,2,2,2,1,1,2,50
"4",3,3,3,2,2,2,1,0,1,1,1,1,1,1,1,0,0,0,1,0,2,1,1,0,1,1,1,0,1,1,33
"5",3,3,3,3,2,2,3,0,3,3,3,2,3,3,2,3,3,3,2,2,3,2,1,2,3,3,2,3,3,3,76
"6",3,3,3,2,1,2,2,1,3,3,1,2,3,1,1,0,0,0,2,1,2,1,1,1,3,2,2,2,3,3,54
"7",3,3,3,2,2,2,1,0,1,2,3,2,2,1,1,0,0,0,2,2,2,1,1,1,2,1,1,1,2,1,45
"8",3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,0,2,3,3,2,3,3,3,3,3,3,3,3,80
"9",3,3,3,3,2,2,2,1,0,3,3,2,2,3,2,0,0,0,2,1,3,0,0,1,2,2,1,2,3,3,54
"10",3,2,3,1,1,1,1,1,0,3,3,2,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,2,2,36
"11",3,3,3,2,2,2,2,0,0,2,2,2,2,2,2,0,0,0,0,0,2,1,2,2,1,1,1,1,2,2,44
"12",3,3,3,2,2,3,2,0,0,2,3,3,2,2,2,1,0,0,2,1,2,1,1,1,0,0,1,1,1,1,45
"13",3,2,3,2,1,1,2,1,0,2,3,2,2,2,2,0,0,0,2,2,2,1,1,1,1,1,1,1,2,2,45
"14",3,3,3,2,1,2,2,1,1,2,3,2,2,2,2,0,0,0,1,1,2,1,1,1,1,1,1,1,1,1,44
"15",3,3,3,2,2,2,2,0,0,2,2,2,3,3,3,0,0,0,2,2,3,2,2,1,2,2,2,1,2,2,55
"16",3,2,3,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,23
"17",2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,1,1,1,1,1,2,1,1,1,2,1,34
"18",3,2,3,2,2,2,2,0,0,2,2,2,1,2,2,2,0,0,1,1,1,1,1,1,2,2,2,1,2,2,46
"19",3,1,3,2,1,1,1,1,0,0,2,2,1,2,2,0,0,0,2,1,1,1,1,1,3,2,2,0,2,3,41
"20",3,3,3,3,1,2,2,0,1,3,3,1,1,2,2,0,0,0,1,1,2,1,1,1,2,2,1,1,2,2,47
"21",3,3,3,1,2,2,2,0,0,1,2,2,2,3,1,0,0,0,2,2,2,1,1,1,2,2,1,2,2,2,47
"22",3,3,3,2,2,2,2,1,0,2,3,2,2,3,2,0,0,0,1,2,0,2,2,1,0,0,0,0,0,0,40
"23",3,3,3,3,2,2,2,0,0,3,3,3,3,3,2,0,0,3,2,1,3,1,2,1,2,2,2,1,2,2,59
"24",3,3,3,2,2,2,2,1,1,2,2,2,1,2,2,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,38
"25",3,3,3,3,1,2,1,1,0,3,3,2,1,2,2,0,0,0,2,2,3,1,2,2,2,2,1,2,3,2,54
"26",3,3,3,2,2,2,1,1,0,1,2,2,1,2,2,0,0,0,1,1,2,1,1,1,2,2,2,1,2,2,45
"27",3,3,3,3,2,2,2,0,0,2,3,2,2,3,2,1,0,1,1,0,2,2,0,1,1,2,2,3,2,2,52
"28",3,3,3,2,1,2,1,1,0,2,1,2,2,2,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,38
